,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
120,0.6948193907737732,0.6923882365226746,0.6940195560455322,0.6931068897247314,0.6924939751625061,0.6932103037834167,0.6939643621444702,0.6953076720237732,0.693856418132782,0.6933425068855286,0.6919358968734741,0.6932933330535889,0.6919106245040894,0.6933289170265198,0.6933835744857788,0.6971327066421509,0.6906953454017639,0.6923672556877136,0.6928293108940125,0.691348135471344,0.6943220496177673,0.6918986439704895,0.6914024353027344,0.6854536533355713,0.6941964626312256,0.6930660009384155,0.6919053792953491,0.6931976079940796,0.6941635608673096,0.6931049227714539,0.6929473876953125,0.6914994716644287,0.6949764490127563,0.6936713457107544,0.6909392476081848,0.6943118572235107,0.6923831701278687,0.6933835744857788,0.6934980154037476,0.6923560500144958,0.6956670880317688,0.6939724683761597,0.6940368413925171,0.689960777759552,0.6914092302322388,0.6934348940849304,0.6902831196784973,0.6923469305038452,0.6957914233207703,0.6940184235572815
121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,0.6958717107772827,0.692650318145752,0.6949569582939148,0.6932138800621033,0.693142831325531,0.6932179927825928,0.6948411464691162,0.6952136158943176,0.6942139267921448,0.6938215494155884,0.6919000148773193,0.692646324634552,0.6919031739234924,0.6930471062660217,0.6934871077537537,0.6956554651260376,0.6907007098197937,0.6922025084495544,0.693256676197052,0.691348135471344,0.6941658854484558,0.6919000148773193,0.6916874051094055,0.6830041408538818,0.6932173371315002,0.6932142376899719,0.6919025182723999,0.6933553814888,0.6933708190917969,0.6931028962135315,0.6929543018341064,0.691852331161499,0.6966549158096313,0.6939001679420471,0.691989541053772,0.6949162483215332,0.6923616528511047,0.6934145092964172,0.6941572427749634,0.6923875212669373,0.6975893974304199,0.6929381489753723,0.6939350962638855,0.6899785399436951,0.6913623213768005,0.6933008432388306,0.690239667892456,0.6923519968986511,0.6941590309143066,0.694512128829956
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
