,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0.3885388374328613,0.355773776769638,0.6416354775428772,0.3548692762851715,0.3053655624389648,0.331642746925354,0.4569737911224365,0.3942570686340332,0.4593169689178467,0.5604968070983887,0.4042776525020599,0.348618745803833,0.3748219907283783,0.7127843499183655,0.5396479964256287,0.3697441816329956,0.3215011954307556,0.5077441334724426,0.3000004887580871,0.4189204573631286,0.3153712153434753,0.6808555126190186,0.3891068398952484,0.3091639280319214,0.4576607942581177,0.6301918625831604,0.3664660155773163,0.4459336996078491,0.5548277497291565,0.4764723181724548,0.3882775604724884,0.5342605710029602,0.3878684043884277,0.4059528708457947,0.3415143191814422,0.3899357914924621,0.3012610971927643,0.4116208851337433,0.3869259655475616,0.5557692646980286,0.3101948201656341,0.4190263748168945,0.4247073829174042,0.4295800924301147,0.5324466824531555,0.536047101020813,0.5458950400352478,0.3991990387439728,0.4937978982925415,0.4347582757472992
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
