,0,1,2,3,4,5,6,7,8,9
80,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
81,0.48,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
82,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
83,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
84,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
85,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
86,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
87,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
88,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
89,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
90,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
91,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
92,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
93,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
94,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
95,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
96,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
97,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
98,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
99,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
100,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
101,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
102,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
103,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
104,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
105,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
106,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
107,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
108,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
109,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
110,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
111,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
112,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
113,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
114,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
115,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
116,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
117,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
118,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
119,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
120,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
121,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
122,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
123,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
124,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
125,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
126,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
127,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52
