,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
373,,,,,,,,,,,,,,,,
374,,,,,,,,,,,,,,,,
375,,,,,,,,,,,,,,,,
376,,,,,,,,,,,,,,,,
377,,,,,,,,,,,,,,,,
378,,,,,,,,,,,,,,,,
379,,,,,,,,,,,,,,,,
380,0.554853618144989,0.5457656979560852,0.6923331618309021,0.4111882150173187,0.43867027759552,0.4948490262031555,0.6929662227630615,0.6920858025550842,0.6920890212059021,0.499739795923233,0.5823778510093689,0.4320530295372009,0.6920560598373413,0.4239308834075928,0.6931251287460327,0.4617083668708801
381,,,,,,,,,,,,,,,,
382,,,,,,,,,,,,,,,,
383,,,,,,,,,,,,,,,,
384,,,,,,,,,,,,,,,,
385,,,,,,,,,,,,,,,,
386,,,,,,,,,,,,,,,,
387,,,,,,,,,,,,,,,,
388,,,,,,,,,,,,,,,,
389,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,
393,,,,,,,,,,,,,,,,
394,,,,,,,,,,,,,,,,
395,,,,,,,,,,,,,,,,
396,,,,,,,,,,,,,,,,
397,,,,,,,,,,,,,,,,
398,,,,,,,,,,,,,,,,
399,,,,,,,,,,,,,,,,
400,0.5183244943618774,0.4509879052639007,0.6920276880264282,0.4169629216194153,0.4522443413734436,0.4416795670986175,0.6930286288261414,0.691693127155304,0.6923375129699707,0.5034743547439575,0.5872350335121155,0.4745799601078033,0.5040779113769531,0.3973493874073028,0.6930989027023315,0.45501708984375
