,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
140,1.0419641733169556,1.0241139829158783,1.0342237949371338,1.1288360059261322,1.1452811062335968,0.875221848487854,1.2206681370735168,0.997650384902954,1.0920734703540802,1.009158581495285,1.168562263250351,1.102013647556305,0.9834140241146088,1.1045643389225006,1.0538147389888763,1.1327134370803833,1.0224164128303528,0.9753749072551728,0.807124987244606,0.846137523651123,1.1513825356960297,1.1966541409492493,0.9647193253040314,0.9241515398025512,1.1020327806472778,1.0555160641670227,1.0361611247062683,1.0694991052150726,0.993371158838272,1.092290461063385,0.9950579702854156,1.0448842942714691,1.0453908145427704,1.1035029590129852,0.9628855288028716,0.902930736541748,1.0709438025951383,0.9863384068012238,1.286343514919281,1.1130968928337095,1.090903341770172,1.126811385154724,1.0618149936199188,1.217348426580429,1.0333503186702728,1.1196582913398745,0.9497047662734984,1.0334692001342771,0.9653559327125548,0.9674037992954254
141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,1.0176701843738556,0.9879570603370668,1.0794476568698883,1.0844240188598633,1.059717744588852,0.9632304310798644,1.1625583171844482,0.9657352566719056,1.090401440858841,0.9952898919582368,1.1176801025867462,1.0716509819030762,0.9677657783031464,1.0084775388240814,1.0418140590190887,1.035802960395813,1.0602762699127195,0.9599609971046448,0.7994226813316345,0.8218121826648712,1.166210561990738,1.0515459179878237,0.8895294070243835,0.8273915350437164,0.9811522662639618,0.9638394117355348,0.9548556804656982,1.0285346806049347,0.9306692779064178,0.978767067193985,0.9454919397830964,0.9748433232307434,1.0119200646877289,1.1253749132156372,0.9644122421741486,0.9226923286914824,1.0930394530296326,0.9754944443702698,1.171493411064148,1.0717172026634216,1.1148896217346191,1.011875569820404,0.9960497170686722,1.1693782210350037,0.9995099604129792,1.070706695318222,0.8812009692192078,0.9321962296962738,0.900255024433136,0.8702201247215271
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,0.917764276266098,0.9005874693393707,1.0350657403469086,1.0270842909812927,1.0413302779197693,0.918226033449173,1.0631293654441831,0.980476588010788,0.9870855808258056,0.9296554625034332,1.033961534500122,0.9185374677181244,0.8998561203479767,0.9887970685958862,0.9317291975021362,1.0071578919887545,1.0242216289043429,0.9128235280513765,0.8007872402667999,0.7697859704494476,1.0835506319999697,1.000522792339325,0.8968175053596497,0.8447040319442749,0.9205962121486664,0.9573086500167848,0.945563554763794,0.8799973577260971,0.8594669699668884,0.9623571038246156,0.9561628997325896,0.8934418857097626,0.9716506898403168,1.0774228870868685,0.928853452205658,0.841506153345108,0.9742694944143296,0.8916659653186798,1.1019910871982574,0.9803071022033693,1.078105866909027,0.9638216197490692,0.9512939006090164,1.0308345258235931,0.9108375310897828,0.968345671892166,0.8980940878391266,0.8444837033748627,0.8533753752708435,0.845494955778122
181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
